Name,Agency,State,Unit_acres,Total_acres,year
Cloud Peak Wilderness,FS,WY,191914,191914,1984
Colonel Bob Wilderness,FS,WA,11851,11851,1984
Cottonwood Point Wilderness,BLM,AZ,6860,6860,1984
Cummins Creek Wilderness,FS,OR,9026,9026,1984
Dark Canyon Wilderness,FS,UT,46360,46360,1984
Deseret Peak Wilderness,FS,UT,25078,25078,1984
Dick Smith Wilderness,FS,CA,71275,71275,1984
Dinkey Lakes Wilderness,FS,CA,30863,30863,1984
Drift Creek Wilderness,FS,OR,5792,5792,1984
Dry Creek Wilderness,FS,AR,6301,6301,1984
East Fork Wilderness,FS,AR,10585,10585,1984
Encampment River Wilderness,FS,WY,10233,10233,1984
Escudilla Wilderness,FS,AZ,5158,5158,1984
Flatside Wilderness,FS,AR,9541,10181,1984
Fossil Springs Wilderness,FS,AZ,10432,10432,1984
Four Peaks Wilderness,FS,AZ,60717,60717,1984
George D. Aiken Wilderness,FS,VT,4800,4800,1984
Glacier View Wilderness,FS,WA,3078,3078,1984
Grand Wash Cliffs Wilderness,BLM,AZ,37030,37030,1984
Granite Chief Wilderness,FS,CA,28374,28374,1984
Granite Mountain Wilderness,FS,AZ,9808,9808,1984
Grassy Knob Wilderness,FS,OR,17176,17176,1984
Gros Ventre Wilderness,FS,WY,285607,285607,1984
Hauser Wilderness,FS,CA,6919,6919,1984
Headwaters Wilderness,FS,WI,22047,22047,1984
Hells Canyon Wilderness,BLM,OR,946,217613,1984
Hellsgate Wilderness,FS,AZ,37457,37457,1984
Henry M. Jackson Wilderness,FS,WA,102907,102907,1984
Hickory Creek Wilderness,FS,PA,8633,8633,1984
High Uintas Wilderness,FS,UT,453860,453860,1984
Hurricane Creek Wilderness,FS,AR,15214,15214,1984
Huston Park Wilderness,FS,WY,30922,30922,1984
Indian Heaven Wilderness,FS,WA,20784,20784,1984
Indian Mounds Wilderness,FS,TX,12214,12214,1984
Irish Wilderness,FS,MO,16427,16427,1984
Ishi Wilderness,BLM,CA,199,42079,1984
Ishi Wilderness,FS,CA,41880,42079,1984
Jedediah Smith Wilderness,FS,WY,123896,123896,1984
Jennie Lakes Wilderness,FS,CA,10510,10510,1984
Juniper Dunes Wilderness,BLM,WA,7140,7140,1984
Juniper Mesa Wilderness,FS,AZ,7566,7566,1984
Juniper Prairie Wilderness,FS,FL,14293,14293,1984
Kachina Peaks Wilderness,FS,AZ,18720,18720,1984
Kanab Creek Wilderness,BLM,AZ,6700,68231,1984
Kanab Creek Wilderness,FS,AZ,61531,68231,1984
Kendrick Mountain Wilderness,FS,AZ,6664,6664,1984
Kimberling Creek Wilderness,FS,VA,5928,5928,1984
Lake Chelan-Sawtooth Wilderness,FS,WA,152980,152980,1984
Leaf Wilderness,FS,MS,993,993,1984
Leatherwood Wilderness,FS,AR,16652,16652,1984
Lewis Fork Wilderness,FS,VA,6072,6072,1984
Little Dry Run Wilderness,FS,VA,2845,2845,1984
Little Lake Creek Wilderness,FS,TX,3817,3817,1984
Little Lake George Wilderness,FS,FL,2827,2827,1984
Little Wilson Creek Wilderness,FS,VA,5461,5461,1984
Machesna Mountain Wilderness,BLM,CA,123,18278,1984
Machesna Mountain Wilderness,FS,CA,18155,18278,1984
Mark O. Hatfield Wilderness,FS,OR,65436,65436,1984
Menagerie Wilderness,FS,OR,4952,4952,1984
Middle Prong Wilderness,FS,NC,7482,7482,1984
Middle Santiam Wilderness,FS,OR,8758,8758,1984
Mill Creek Wilderness,FS,OR,17173,17173,1984
Miller Peak Wilderness,FS,AZ,20251,20251,1984
Monarch Wilderness,FS,CA,44216,44216,1984
Monument Rock Wilderness,FS,OR,20210,20210,1984
Mount Baker Wilderness,FS,WA,119417,119417,1984
Mount Logan Wilderness,BLM,AZ,14650,14650,1984
Mount Naomi Wilderness,FS,UT,44465,44465,1984
Mount Nebo Wilderness,FS,UT,27075,27075,1984
Mount Olympus Wilderness,FS,UT,15292,15292,1984
